"Productnaam";"Interne referentie";"EAN";"Productgroep";"Beschrijving";"Nieuwe afbeeldingen";"Bestaande afbeeldingen";"Aantal artikelen in verpakking";"Aantal artikelen in verpakking Eenheid";"Aantal stuks in verpakking";"Aantal stuks in verpakking Eenheid";"Afwateringsgat";"Bediening verlichting";"CE Markering Document";"CE markering";"Diameter";"Diameter Eenheid";"Doelgroep";"E-mailadres of online contactformulier van de fabrikant";"Energielabel document";"Fabrikant Adres";"Fabrikant Naam";"Fotoformaat breedte";"Fotoformaat breedte Eenheid";"Fotoformaat lengte";"Fotoformaat lengte Eenheid";"Funkussen";"Geschikt voor type deur";"IP waarde";"Inclusief lichtbron";"Informatie datagebruik document";"Kleur";"Lichtbron verwijderbaar";"Materiaal";"Materiaal vulling";"Merk";"Met dimfunctie";"Ondersteuning met updates";"Product breedte";"Product breedte Eenheid";"Product hoogte";"Product hoogte Eenheid";"Product lengte";"Product lengte Eenheid";"Productinformatieblad document";"Producttaal";"Soort kaars";"Soort plantenbak";"Speciaal voor kinderen";"Taal handleiding";"Type fotolijst";"Type hordeur";"Type onderzetter";"Type plaid";"Type raamfolie";"Type schoenverzorging";"Type tafellaken";"Type tuinscherm";"Verkrijgt of genereert dan wel verzamelt data";"Verpakkingstaal";"Voedingstype";"Voor binnen of buiten";"Vorm";"Waarde energielabel";"Wasbaar";"Wattage per lichtpunt";"Wattage per lichtpunt Eenheid";"Wegwerp";"Woonthema";"Aansluitspanning";"Aansluitspanning Eenheid";"Aantal branduren";"Aantal branduren Eenheid";"Aantal foto's";"Aantal lichtpunten";"Aantal meegeleverde accu's/batterijen";"Aantal onderdelen";"Aantal vakken";"Aanvullende garanties";"Accuduur";"Aftersales Service(s)";"Anti-allergie";"Anti-slip";"BPA-vrij";"Bediening via mobiele app";"Bluetooth";"Breedte lampenkap";"Breedte lampenkap Eenheid";"Breekbaar";"Commercieel duurzaamheidsgarantie document";"Country";"Diameter lampenkap";"Diameter lampenkap Eenheid";"Dikte";"Dikte Eenheid";"Draaibaar";"Ergonomisch";"Fabrieksgarantie termijn";"Fan Merchandise";"Feestgelegenheid";"Fitting";"Fotomaat";"Game merchandise thema";"Geintegreerde USB poort";"Geschikt als bijzettafel";"Geschikt om op te zitten";"Geschikt voor Camper- of Caravan";"Geschikt voor aantal kaarsen";"Geschikt voor aantal pennen";"Geschikt voor aantal personen";"Geschikt voor boot";"Geschikt voor breedte balkonrailing";"Geschikt voor breedte balkonrailing Eenheid";"Geschikt voor leeftijd baby";"Geschikt voor materiaal";"Geschikt voor ruimte";"Geschikt voor wasdroger";"Gestoffeerd";"Geurnaam";"Geursoort";"Glow in the dark";"Handleiding";"Hittebestendig";"Inclusief Passe-partout";"Inclusief binnenkussen";"Inclusief houder";"Inclusief opbergruimte";"Inclusief poten";"Inclusief waterreservoir";"Ingeweven motief";"Inhoud";"Inhoud Eenheid";"Inklapbaar";"Inlusief bevestigingshaken";"Kledingmaat";"Kleur licht";"Kleurtemperatuur";"Kleurtemperatuur Eenheid";"Levensduur lichtbronnen";"Levensduur lichtbronnen Eenheid";"Lumen per lichtpunt";"Lumen per lichtpunt Eenheid";"MPN (Manufacturer Part Number)";"Magnetisch";"Magnetronbestendig";"Materiaal onderkant";"Materiaal tijk";"Merchandise van artiest";"Met draadloos oplaadstation";"Met klimrek";"Met lampenkap";"Met wielen";"Meubelafwerking";"Navulbaar";"Ongediertebestrijding";"Ophangbaar";"Ophangwijze";"Patroon";"Personage";"Personage van toepassing";"Product diepte";"Product diepte Eenheid";"Product gewicht";"Product gewicht Eenheid";"Profielbreedte lijst";"Profielbreedte lijst Eenheid";"Reparatie type";"Reparatiescore";"Seizoenscollectie";"Seizoensjaar";"Sluiting";"Smart Home Platform";"Snoer met stekker aan het product";"Snoerlengte";"Snoerlengte Eenheid";"Soort model";"Speciaal geschikt voor babykamer";"Speciaal geschikt voor barbecue";"Sportteam";"Stevigheid kussen";"Stijl";"Thema";"Type beker";"Type bevestiging";"Type bevestiging";"Type deurmat";"Type ergonomisch kussen";"Type keukendoek";"Type kussen";"Type lichtbron meegeleverd";"Type merchandise";"Type muursticker";"Type onderstel meubel";"Type slaper";"Uitzonderingen fabrieksgarantie";"Vaatwasser veilig";"Verkoelende werking";"Verpakking breedte";"Verpakking breedte Eenheid";"Verpakking hoogte";"Verpakking hoogte Eenheid";"Verpakking lengte";"Verpakking lengte Eenheid";"Verpakkingsgewicht";"Verpakkingsgewicht Eenheid";"Verpakkingsinhoud";"Verstelbaar";"Verstelmogelijkheden";"Vorstbestendig";"Vulgewicht";"Wasbare tijk of vulling";"Wasvoorschrift";"Waterafstotend";"eWaste"
*windlicht cilinder zilver streep large 35cm*;8716522081794;8716522081794;Windlicht;<h3>Mars & More Windlicht Cilinder Zilver Streep Large 35cm</h3> <p>Dit elegante windlicht van Mars & More voegt een stijlvolle touch toe aan uw tuin- en buitenruimte. Het cilindervormige ontwerp met zilveren strepen creëert een moderne en verfijnde uitstraling, perfect voor het creëren van gezellige sfeer in de avonduren.</p> <ul> <li>Hoogte: 35cm, breedte en diepte: 12.5cm</li> <li>Elegant glas materiaal met zilveren streepdesign</li> <li>Geschikt voor kaarsjes en kaarslicht</li> <li>Eenvoudig te onderhouden met vochtige doek</li> <li>Ideaal voor terras, balkon en tuindecoratie</li> </ul>;;;;;1;stuk(s);;;;;12.50;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Zilver;;Glas;;Mars & More;;;12.5;cm;35;cm;12.5;cm;;;;;;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Never out of stock;Never out of stock;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;25;cm;20;cm;35;cm;0.10;kg;;;;;;;;;N
Windlicht cilinder zilver visgraat breed small;8716522081831;8716522081831;Windlicht;<h3>Windlicht Cilinder Zilver Visgraat Breed Small 25cm</h3> <p>Dit elegante windlicht van Mars & More is het perfecte accent voor je interieur. Het cilindervormige design met zilverkleurig visgraatpatroon brengt sfeer en elegantie in elk huis. Het windlicht beschermt je kaarsen tegen tochtvlagen en creëert een gezellige ambiance.</p> <ul> <li>Afmetingen: 12 x 12 x 25 cm</li> <li>Materiaal: Glas</li> <li>Kleur: Zilver</li> <li>Gewicht: 100 gram</li> <li>Schoonmaak: Afnemen met vochtige doek</li> <li>Artikelnummer: XMWCZVS</li> </ul>;;;;;1;stuk(s);;;;;12;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Zilver;;Glas;;Mars & More;;;12;cm;25;cm;12;cm;;;;;;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Never out of stock;Never out of stock;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;20;cm;20;cm;30;cm;0.10;kg;;;;;;;;;N
*windlicht cilinder zilver visgraat breed large 35cm*;8716522081855;8716522081855;Windlicht;<h3>Windlicht Cilinder Zilver Visgraat Large - 35cm</h3> <p>Dit prachtige windlicht van Mars & More combineert elegantie met functionaliteit. Het cilindervormige ontwerp met zilverkleurig visgraatpatroon creëert een verfijnde uitstraling en zorgt voor gezellige sfeer in elke ruimte. Ideaal voor het plaatsen van kaarsen of bloemen.</p> <ul> <li>Afmetingen: 12 x 12 x 35 cm (Large formaat)</li> <li>Materiaal: Glas met zilverkleurig visgraatpatroon</li> <li>Kleur: Zilver</li> <li>Gewicht: 100 gram</li> <li>EAN-code: 8716522081855</li> <li>Gemakkelijk schoon te maken met een vochtige doek</li> </ul>;;;;;1;stuk(s);;;;;12;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Zilver;;Glas;;Mars & More;;;12;cm;35;cm;12;cm;;;;;;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Never out of stock;Never out of stock;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;25;cm;20;cm;35;cm;0.10;kg;;;;;;;;;N
*windlicht koe hart zebra 10cm*;8716522082272;8716522082272;Windlicht;<h3>Mars & More Windlicht Koe Hart Zebra 10cm</h3> <p>Dit charmante windlicht combineert een speelse koe-vorm met hart- en zebraprint details. Het maakt je interieur direct gezelliger met zachte, sfeervolle verlichting. Ideaal als decoratie in slaapkamer, woonkamer of als origineel cadeau.</p> <ul> <li>Afmetingen: 11,5 x 11,5 x 10,5 cm</li> <li>Materiaal: Vachten met multi-kleuren print</li> <li>Gewicht: 380 gram</li> <li>EAN: 8716522082272</li> <li>Perfecte sfeermaker voor elk interieur</li> </ul>;;;;;1;stuk(s);;;;;11.50;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Multi;;Glas;;Mars & More;;;11.5;cm;10.5;cm;11.5;cm;;;;;;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;Geen;;Service via verkoper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;Never out of stock;Never out of stock;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;25;cm;20;cm;35;cm;0.10;kg;;;;;;;;;N
Theelichthouder hart grijs klein 8cm;8716522084337;8716522084337;Windlicht;<h3>Theelichthouder Hart Grijs Klein - Mars & More</h3> <p>Creëer een warme en gezellige sfeer met deze elegante theelichthouder in hartvorm. Het grijze glazen hartje van Mars & More is een stijlvol accessoire voor elke kamer.</p> <ul> <li>Afmetingen: 7 x 7 x 8 cm</li> <li>Materiaal: Glas</li> <li>Kleur: Grijs</li> <li>Gewicht: 172 gram</li> <li>Artikelnummer: XMWLHAGS</li> <li>Gemakkelijk schoon te maken met een vochtige doek</li> </ul>;;;;;1;stuk(s);;;;;7;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Grijs;;Glas;;Mars & More;;;7;cm;8;cm;7;cm;;;;;;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Never out of stock;Never out of stock;;;;;;;;;;;Klassiek;;;;;;;;;;;;;;;;;10;cm;11;cm;10;cm;0.50;kg;;;;;;;;;
Theelichthouder safari mix bruin small 8cm*;8716522084399;8716522084399;Windlicht;<h3>Theelichthouder Safari Mix Bruin Small 8cm</h3> <p>De Theelichthouder Safari Mix Bruin Small van Mars & More brengt warmte en gezelligheid in elk interieur. Met zijn charmante safari-print in bruine tinten is deze glazen theelichthouder een sfeervol aanvulling op uw woonaccessoires.</p> <ul> <li>Afmetingen: 7x7x8cm</li> <li>Materiaal: Glas</li> <li>Kleur: Bruin met safari-motief</li> <li>Gewicht: 171g</li> <li>Eenvoudig schoon te maken met vochtige doek</li> <li>Ideaal voor theelichtjes en kaarsen</li> <li>Elegant design voor sfeervolle verlichting</li> </ul>;;;;;1;stuk(s);;;;;7;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Bruin;;Glas;;Mars & More;;;7;cm;8;cm;7;cm;;;;;;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Never out of stock;Never out of stock;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;25;cm;20;cm;30;cm;0;kg;;;;;;;;;N
Theelichthouder & taupe small 8cm;8716522087529;8716522087529;Windlicht;<h3>Mars & More Theelichthouder Taupe Small 8cm</h3> <p>Een elegante theelichthouder van glas in een rustige taupekling. Deze kleine theelichthouder van Mars & More geeft elke ruimte een warm en sfeervol uiterlijk. Met zijn compacte afmetingen van 7,5 x 7,5 x 8cm past hij perfect op elk raam, tafel of decoratieve plank.</p> <ul> <li>Materiaal: Glas</li> <li>Kleur: Taupe</li> <li>Afmetingen: 7,5 x 7,5 x 8cm</li> <li>Gewicht: 0,176kg</li> <li>Onderhoud: Afnemen met een vochtige doek</li> <li>Artikelnummer: XMWLNENTS</li> </ul>;;;;;1;stuk(s);;;;;7.50;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Taupe;;Glas;;Mars & More;;;7.5;cm;8;cm;7.5;cm;;;;;;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Herfst/Winter;2022;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;20;cm;20;cm;20;cm;0.20;kg;;;;;;;;;
Theelichthouder & taupe medium 12cm;8716522087536;8716522087536;Windlicht;<h3>Theelichthouder & Taupe Medium 12cm</h3> <p>Deze elegante theelichthouder van Mars & More in taupe voegt warmte en sfeer toe aan elk interieur. Het glazen design combineert stijl met functionaliteit voor een moderne huiskamer.</p> <ul> <li>Kleur: Taupe</li> <li>Materiaal: Glas</li> <li>Afmetingen: 10x10x12,5cm</li> <li>Gewicht: 509g</li> <li>Onderhoud: Afnemen met een vochtige doek</li> </ul>;;;;;1;stuk(s);;;;;10;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Taupe;;Glas;;Mars & More;;;12;cm;12;cm;10;cm;;;;;;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Never out of stock;Never out of stock;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;25;cm;20;cm;35;cm;0.10;kg;;;;;;;;;N
Theelichthouder hert boom goud medium 12cm;8716522087741;8716522087741;Windlicht;<h3>Theelichthouder Hert Boom Goud Medium</h3> <p>Deze prachtige theelichthouder van Mars & More voegt warme sfeer toe aan jouw interieur. Met het elegante hert- en boomdesign in goudkleur is dit accessoire een echte eyecatcher op tafel of bij het raam.</p> <ul> <li>Afmetingen: 10x10x12,5cm</li> <li>Materiaal: Glas met goudkleurige details</li> <li>Kleur: Goud</li> <li>Gewicht: 505 gram</li> <li>Eenvoudig schoon te maken met vochtige doek</li> <li>Ideaal voor theelichtjes en sfeerverlichting</li> </ul>;;;;;1;stuk(s);;;;;10;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Goud;;Glas;;Mars & More;;;10;cm;12.5;cm;10;cm;;;;;;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Never out of stock;Never out of stock;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;25;cm;20;cm;35;cm;0.10;kg;;;;;;;;;N
Theelichthouder wijn chardonnay wit small 8cm;8716522089240;8716522089240;Windlicht;<h3>Mars & More Theelichthouder Wijn Chardonnay Wit Small</h3> <p>Deze elegante theelichthouder van Mars & More heeft het charmante design van een Chardonnay wijnglas. Met een hoogte van 8cm is het small formaat perfect voor sfeervolle tafelversiering en gezellige atmosfeer in huis.</p> <ul> <li>Afmetingen: 7x7x8cm</li> <li>Materiaal: Glas</li> <li>Kleur: Wit</li> <li>Gewicht: 181 gram</li> <li>Onderhoud: Met een vochtige doek afnemen</li> <li>Artikelnummer: XMWLWCWCS</li> </ul>;;;;;1;stuk(s);;;;;7;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Wit;;Glas;;Mars & More;;;7;cm;8;cm;7;cm;;;;;;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Never out of stock;Never out of stock;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;25;cm;20;cm;30;cm;0;kg;;;;;;;;;N
Mars & More - Windlicht 'Teckel Silhouette' (Large, 18cm);8716522089660;8716522089660;Windlicht;<h3>Theelichthouder Silhouet Teckel Groot 18cm</h3> <p>Deze charme theelichthouder van Mars & More brengt warmte en gezelligheid in jouw interieur. Met het leuke teckelsilhouet is het een decoratief eyecatcher voor elke kamer.</p> <ul> <li>Materiaal: Glas</li> <li>Afmetingen: 12 x 12 x 18 cm (hoogte)</li> <li>Kleur: Zwart</li> <li>Gewicht: 1.083 kg</li> <li>Eenvoudig schoon te maken met vochtige doek</li> <li>Ideaal voor kaarsjes en theelichtjes</li> </ul>;;;;;1;stuk(s);;;;;12;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;Maison d'Abri®;;;;;;;;;;Goud;;Glas;;Mars & More;;;12;cm;18;cm;12;cm;;;;;;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Never out of stock;2023;;;;;;;;;;;Landelijk;;;;;;;;;;;;;;;;;14;cm;20;cm;14;cm;1.10;kg;;;;;;;;;
Windlicht silhouette gewei small 8cm;8716522089677;8716522089677;Windlicht;Windlicht silhouette gewei small 8cm;;;;;1;stuk(s);;;;;8;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo, Nederland;B-Living;;;;;;;;;;Zwart;;Glas;;;;;8;cm;8;cm;8;cm;;;;;;;;;;;;;;;;;;;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Windlicht silhouette gewei medium 12cm;8716522089684;8716522089684;Windlicht;Windlicht silhouette gewei medium 12cm;;;;;1;stuk(s);;;;;12;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo, Nederland;B-Living;;;;;;;;;;Zwart;;Glas;;;;;;;12;cm;;;;;;;;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Never out of stock;Never out of stock;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;25;cm;20;cm;35;cm;0.10;kg;;;;;;;;;N
Mars & More - Windlicht 'Harbour Club' - Wit (Small, 8cm);8716522089721;8716522089721;Windlicht;<h3>Mars & More Theelichthouder Harbour Club Wit Small</h3> <p>Deze sierlijke theelichthouder uit de Harbour Club collectie van Mars & More voegt warmte en gezelligheid toe aan elk interieur. Met zijn witte glazen design en compacte afmetingen is het een veelzijdig woonaccessoire dat perfect past op tafel, vensterbank of kast.</p> <ul> <li>Afmetingen: 7 x 7 x 8 cm</li> <li>Materiaal: Glas</li> <li>Kleur: Wit</li> <li>Gewicht: 181 gram</li> <li>Schoonmaak: Afnemen met vochtige doek</li> <li>Artikelnummer: XMWLHCWS</li> </ul>;;;;;1;stuk(s);;;;;7;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Wit;;Glas;;Mars & More;;;7;cm;8;cm;7;cm;;;;;;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Never out of stock;Never out of stock;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;25;cm;8;cm;8;cm;0.10;kg;;;;;;;;;N
Mars & More - Windlicht 'Harbour Club' - Wit (Medium, 12cm);8716522089738;8716522089738;Windlicht;<h3>Mars & More Theelichthouder Harbour Club Wit Medium</h3> <p>Deze stijlvolle theelichthouder uit de Harbour Club collectie brengt maritieme elegantie in uw interieur. Het medium formaat met een hoogte van 12cm is perfect voor tafelbladen en planken.</p> <ul> <li>Materiaal: Glas</li> <li>Kleur: Wit</li> <li>Afmetingen: 10x10x12,5cm</li> <li>Gewicht: 0,53kg</li> <li>Schoon met een vochtige doek</li> </ul>;;;;;1;stuk(s);;;;;10;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Wit;;Glas;;Mars & More;;;10;cm;12.5;cm;10;cm;;;;;;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Never out of stock;Never out of stock;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;25;cm;20;cm;35;cm;0.10;kg;;;;;;;;;N
Mars & More - Windlicht 'Harbour Club' - Grijs (Small, 8cm);8716522089745;8716522089745;Windlicht;<h3>Theelichthouder Harbour Club Grijs Small</h3> <p>Deze stijlvolle theelichthouder uit de Harbour Club collectie van Mars & More brengt warmte en elegantie in elk interieur. Met zijn compacte afmetingen van 7x7x8cm is hij ideaal voor kleine ruimtes en creëert hij een gezellige sfeer.</p> <ul> <li>Afmetingen: 7x7x8cm</li> <li>Materiaal: Glas</li> <li>Kleur: Grijs</li> <li>Gewicht: 0,181kg</li> <li>Schoonmaak: Vochtige doek</li> <li>Artikelnummer: XMWLHCGS</li> </ul>;;;;;1;stuk(s);;;;;7;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Zwart;;Glas;;Mars & More;;;7;cm;8;cm;7;cm;;;;;;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Never out of stock;Never out of stock;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;25;cm;8;cm;8;cm;0.10;kg;;;;;;;;;N
Theelichthouder fleury dahlias medium 12cm;8716522093995;8716522093995;Windlicht;<h3>Theelichthouder Fleury Dahlias Medium 12cm</h3> <p>Een prachtige glazen theelichthouder met het kleurrijke Fleury Dahlias-design van Mars & More. Deze elegante theelichthouder voegt warmte en gezelligheid toe aan elk interieur en is perfect voor sfeerverlichting op tafel of dressoir.</p> <ul> <li>Materiaal: Glas</li> <li>Afmetingen: 10 x 10 x 12,5 cm</li> <li>Kleur: Multi (dahlia-motief)</li> <li>Gewicht: 513 gram</li> <li>Onderhoud: Afnemen met een vochtige doek</li> <li>Artikelnummer: XMWLFD12</li> </ul>;;;;;1;stuk(s);;;;;10;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Multi;;Glas;;Mars & More;;;10;cm;12;cm;10;cm;;;;;;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Never out of stock;Never out of stock;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;25;cm;20;cm;35;cm;0.10;kg;;;;;;;;;N
deurmat hout chihuahuas 75x50cm;8716522043990;8716522043990;Deurmat;<h3>Mars & More Deurmat Hout Chihuahuas 75x50cm</h3> <p>Welkom thuis met deze leuke deurmat van Mars & More. De deurmat met chihuahua-motief op houtachtige achtergrond brengt gezelligheid in uw entree. Perfect voor dierliefhebbers die hun liefde voor huisdieren willen uiten.</p> <ul> <li>Afmetingen: 75 x 50 x 1 cm</li> <li>Materiaal: Polyester</li> <li>Kleur: Multi</li> <li>Gewicht: 0,77 kg</li> <li>Wasbaar tot 30°C</li> <li>Vochtafstotend en slijtvast</li> <li>Ideaal als decoratieve deurmat</li> </ul>;;;;;1;stuk(s);;;;;;;Alle leeftijden;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Multi;;Polyester;;Mars & More;;;75;cm;;;50;cm;;;;;N;;;;;;;;;;;;;Voor binnen;Vierkant;;Y;;;;Geen thema;;;;;;;;;;;;;;;;;;;;;;;;;1;cm;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Overig;Geen personage;;;;;;;;;;;;;;;;;;;;;;;;;;;Schoonloopmat;;;;;;;;;;;;162;mm;110;mm;536;mm;0.53;kg;1;;;;;;;;
kokosmat handgeweven hotel mama 75cm;8716522080452;8716522080452;Deurmat;<h3>Kokosmat Handgeweven Hotel Mama 75cm</h3> <p>Deze prachtige handgeweven kokosmat van Mars & More is een stiijvol welkomstje voor uw entree. Gemaakt van natuurlijke kokosvezel met het karakteristieke 'Hotel Mama' ontwerp in multicolor. De mat is duurzaam, robuust en praktisch voor dagelijks gebruik.</p> <ul> <li>Afmetingen: 75x45cm met 4cm dikte</li> <li>Materiaal: 100% kokosvezel</li> <li>Handgeweven kwaliteit</li> <li>Kleur: Multi (naturel met contrast)</li> <li>Gewicht: 2,75 kg</li> <li>Onderhoud: Af en toe uitkloppen</li> </ul>;;;;;1;stuk(s);;;;;;;Alle leeftijden;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Multi;;Kokosvezel;;Mars & More;;;75;cm;;;50;cm;;;;;N;;;;;;;;;;;;;Voor binnen;Rechthoek;;Y;;;;Geen thema;;;;;;;;;;;;;;;;;;;;;;;;;0.40;cm;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Overig;Geen personage;;;;;;;;;;;;;;;;;;;;;;;;;;;Droogloopmat;;;;;;;;;;;;25;cm;25;cm;49;cm;0.01;kg;1;;;;;;;;
